userId,group,planetNo,attemptNo,plant1,plant2,plant3,plant4,plant5,CFplant1,CFplant2,CFplant3,CFplant4,CFplant5,oldPred,newPred
bb284246c5a64c258a92fa940218e85c,U,1,0,3,1,3,2,2,3,1,3,2,2,0,0
bb284246c5a64c258a92fa940218e85c,U,1,0,3,3,3,2,2,2,3,3,1,2,0,1
bb284246c5a64c258a92fa940218e85c,U,2,0,4,1,2,3,3,0,0,0,0,0,0,0
bb284246c5a64c258a92fa940218e85c,U,2,0,4,3,2,3,3,3,3,2,2,3,0,1
bb284246c5a64c258a92fa940218e85c,U,3,0,0,0,2,0,0,0,0,0,0,0,0,0
bb284246c5a64c258a92fa940218e85c,U,3,0,0,0,2,1,0,0,0,0,0,0,0,0
bb284246c5a64c258a92fa940218e85c,U,3,0,0,0,2,1,1,0,0,0,0,0,0,0
69ea7539af154597af79cae6caa3e9a6,U,1,0,4,2,5,3,1,4,2,5,3,1,0,0
69ea7539af154597af79cae6caa3e9a6,U,1,0,3,3,5,3,1,3,3,3,1,1,0,1
69ea7539af154597af79cae6caa3e9a6,U,2,0,3,1,5,1,3,3,1,5,1,3,0,0
69ea7539af154597af79cae6caa3e9a6,U,2,0,3,3,5,1,3,3,3,2,1,3,0,1
69ea7539af154597af79cae6caa3e9a6,U,3,0,3,1,1,1,1,0,0,0,0,0,0,0
69ea7539af154597af79cae6caa3e9a6,U,3,0,2,2,1,1,1,0,0,0,0,0,0,0
69ea7539af154597af79cae6caa3e9a6,U,3,0,3,0,2,1,1,0,0,0,0,0,0,0
354be11f94a64eb08d1da2b89afb1bfc,U,1,0,0,1,0,0,0,0,0,0,0,0,0,0
354be11f94a64eb08d1da2b89afb1bfc,U,1,0,1,2,1,1,1,0,0,0,0,0,0,0
354be11f94a64eb08d1da2b89afb1bfc,U,1,0,1,2,2,2,2,0,0,0,0,0,0,0
354be11f94a64eb08d1da2b89afb1bfc,U,2,0,1,2,3,3,3,1,2,3,3,3,0,0
354be11f94a64eb08d1da2b89afb1bfc,U,2,0,1,2,3,3,2,1,2,3,3,2,0,0
354be11f94a64eb08d1da2b89afb1bfc,U,3,0,2,2,2,1,1,0,0,0,0,0,0,0
48e8dd46c2824a34a6ce5a73b6ccbf4c,U,1,0,0,0,0,1,0,0,0,0,0,0,0,0
48e8dd46c2824a34a6ce5a73b6ccbf4c,U,1,0,0,4,3,2,2,0,3,3,1,2,0,1
48e8dd46c2824a34a6ce5a73b6ccbf4c,U,2,0,0,2,5,3,2,0,2,5,3,2,0,0
48e8dd46c2824a34a6ce5a73b6ccbf4c,U,2,0,0,3,5,3,1,0,3,2,2,1,0,1
48e8dd46c2824a34a6ce5a73b6ccbf4c,U,3,0,5,1,2,1,5,0,0,0,0,0,0,0
48e8dd46c2824a34a6ce5a73b6ccbf4c,U,3,0,5,2,1,2,5,0,0,0,0,0,0,0
17b357c9c55f433782173bcbdc215dd5,U,1,0,6,2,6,2,6,6,2,6,2,6,0,0
36e5acc0b33c4d4f8481f56cd4efe696,U,1,0,1,2,1,2,0,0,0,0,0,0,0,0
36e5acc0b33c4d4f8481f56cd4efe696,U,1,0,1,1,1,3,1,0,0,0,0,0,0,0
36e5acc0b33c4d4f8481f56cd4efe696,U,1,0,1,1,2,0,3,0,0,0,0,0,0,0
36e5acc0b33c4d4f8481f56cd4efe696,U,2,0,2,1,3,2,0,2,1,3,2,0,0,0
