userId,group,planetNo,attemptNo,timeAgreementScene,timeStartScene,timestableConfigScene,timestableScene
bb284246c5a64c258a92fa940218e85c,U,1,0,3379,1036,-1,-1
bb284246c5a64c258a92fa940218e85c,U,2,0,3379,1036,-1,-1
bb284246c5a64c258a92fa940218e85c,U,3,0,3379,1036,-1,-1
69ea7539af154597af79cae6caa3e9a6,U,1,0,43932,31121,-1,-1
69ea7539af154597af79cae6caa3e9a6,U,2,0,43932,31121,-1,-1
69ea7539af154597af79cae6caa3e9a6,U,3,0,43932,31121,-1,-1
354be11f94a64eb08d1da2b89afb1bfc,U,1,0,170176,108191,-1,-1
354be11f94a64eb08d1da2b89afb1bfc,U,2,0,170176,108191,-1,-1
354be11f94a64eb08d1da2b89afb1bfc,U,3,0,170176,108191,-1,-1
48e8dd46c2824a34a6ce5a73b6ccbf4c,U,1,0,14617,29810,-1,-1
48e8dd46c2824a34a6ce5a73b6ccbf4c,U,2,0,14617,29810,-1,-1
48e8dd46c2824a34a6ce5a73b6ccbf4c,U,3,0,14617,29810,-1,-1
17b357c9c55f433782173bcbdc215dd5,U,1,0,5826,15243,-1,-1
36e5acc0b33c4d4f8481f56cd4efe696,U,1,0,126562,101572,-1,-1
36e5acc0b33c4d4f8481f56cd4efe696,U,2,0,126562,101572,-1,-1
36e5acc0b33c4d4f8481f56cd4efe696,U,3,0,126562,101572,-1,-1
b9bb6bc6c2704f7a94252c2d4e54649a,U,1,0,64683,8719,-1,-1
b9bb6bc6c2704f7a94252c2d4e54649a,U,2,0,64683,8719,-1,-1
b9bb6bc6c2704f7a94252c2d4e54649a,U,3,0,64683,8719,-1,-1
927cf8b734aa451291660cc6e55c4c60,U,1,0,72058,55588,-1,-1
927cf8b734aa451291660cc6e55c4c60,U,2,0,72058,55588,-1,-1
927cf8b734aa451291660cc6e55c4c60,U,3,0,72058,55588,-1,-1
66311034328a4f0f82032dd810f4fd30,U,1,0,98120,131095,-1,-1
66311034328a4f0f82032dd810f4fd30,U,2,0,98120,131095,-1,-1
66311034328a4f0f82032dd810f4fd30,U,3,0,98120,131095,-1,-1
e1364da8330c41498bb5fcf66c47f40f,U,1,0,10578,6790,-1,-1
e1364da8330c41498bb5fcf66c47f40f,U,2,0,10578,6790,-1,-1
e1364da8330c41498bb5fcf66c47f40f,U,3,0,10578,6790,-1,-1
662c58127f3d4ebbb43ceb397bbabb85,U,1,0,48457,11433,-1,-1
662c58127f3d4ebbb43ceb397bbabb85,U,2,0,48457,11433,-1,-1
